name	n_dependents	n_tp_dependents	own_download_count
pyobjc-framework-sensitivecontentanalysis	1	0	429698
fastdiff	1	0	1039491
duet	1	0	183023
py-sr25519-bindings	5	0	309886
rotary-embedding-torch	1	0	482129
flask-babel	3	0	10881151
xdis	2	0	173855
zope-ptresource	1	0	93786
onemkl-sycl-blas	2	0	66906
argparse	6	0	18204119
findiff	1	0	89820
ripgrepy	1	0	132096
azure-mgmt-billing	1	0	6497012
vonage-utils	18	0	215344
darts	1	0	316586
py-multihash	2	0	164915
pyobjc-framework-metrickit	1	0	441450
pyside6-essentials	2	0	1924792
types-dataclasses	1	0	618671
asynch	1	0	2659986
petl	1	0	828172
optionaldict	1	0	72191
vonage-http-client	16	0	136802
yasoo	1	0	87003
pyformance	1	0	142944
squarify	1	0	312790
browserforge	1	0	1521927
itk-io	1	0	161657
azure-ai-contentsafety	1	0	570760
canonicaljson	1	0	258097
looker-sdk	1	0	17390407
openseespylinux	1	0	201203
aliyun-python-sdk-core	4	0	78172540
bangla	1	0	159383
dedupe	1	0	61658
ixnetwork	1	0	56170
torchinfo	1	0	521774
recommonmark	1	0	860803
dsnparse	2	0	289856
aiounittest	1	0	221101
pyobjc-framework-iobluetooth	2	0	441786
warcio	2	0	1176965
nvidia-nvimgcodec-cu12	1	0	72611
drjit	2	0	78222
dynamic-network-architectures	1	0	68175
ibmcloudant	1	0	3750815
pyats-tcl	1	0	235414
d6tcollect	1	0	57807
glean-parser	1	0	49148
pyld	1	0	234773
aim-ui	1	0	59274
repoze-sendmail	1	0	59545
ixnetwork-restpy	1	0	171655
azureml-telemetry	4	0	491051
streamlit-camera-input-live	1	0	322052
retryhttp	1	0	3207679
unicon-plugins	1	0	169240
huey	1	0	9543713
libraft-cu12	4	0	170219
dask-cuda	1	0	280957
uproot3-methods	1	0	101079
pytest-profiling	1	0	1845617
expiringdict	2	0	7582825
kornia-rs	1	0	2309964
zope-tal	3	0	101536
whiteboxgui	1	0	78025
json-timeseries	1	0	74426
apache-airflow-providers-common-compat	95	0	14809043
wadler-lindig	3	0	3590422
tensorrt-cu12	1	0	132036
lazify	1	0	449406
tencentcloud-sdk-python	1	0	368577
pyobjc-framework-searchkit	1	0	441357
base2048	1	0	74365
openedx-django-pyfs	2	0	93356
vonage-voice	1	0	135402
sphinx-data-viewer	1	0	167405
llama-index-readers-file	1	0	3122896
pyobjc-framework-colorsync	1	0	440651
rodi	1	0	49313
func-timeout	1	0	1765158
seqeval	3	0	464442
xblock	10	0	104394
azure-storage-file-datalake	6	0	34644435
pyjwkest	1	0	483633
cmsis-pack-manager	1	0	741081
pyobjc-framework-safetykit	1	0	437760
pyobjc-framework-mediaextension	1	0	425578
django-fernet-fields-v2	2	0	704563
snakeviz	1	0	3758657
channels	2	0	3899608
xmod	2	0	4025611
munkres	2	0	445849
pyecharts	1	0	498456
types-shapely	1	0	428039
lib-detect-testenv	3	0	1068187
oss2	6	0	29232972
azure-servicefabric	1	0	1456070
dapr	1	0	203260
geode-numerics	2	0	82335
mattermostwrapper	1	0	73500
sod4onnx	1	0	103709
flask-socketio	1	0	3110981
ssh-python	1	0	142205
scour	1	0	143092
lalsuite	1	0	334607
yang-connector	1	0	139768
rosbags	1	0	398461
kaldiio	1	0	603366
jsonfield	6	0	777674
rpaframework-core	2	0	450425
coola	4	0	525384
graphlib-backport	1	0	426028
oslo-service	5	0	288604
oslo-metrics	1	0	201423
bnnumerizer	1	0	96275
selectors2	1	0	51926
urlobject	2	0	342964
pathlib-mate	1	0	1535007
toonify	1	0	192098
compressed-tensors	4	0	4346196
tensorflowjs	1	0	3418818
mailbits	1	0	237045
lesscpy	1	0	162712
cuequivariance	1	0	84730
untokenize	1	0	921209
retry2	2	0	1974006
locust	2	0	10727312
pyln-bolt7	1	0	93129
whylabs-client	1	0	195148
onnxsim-prebuilt	1	0	62451
qrcode-terminal	1	0	60992
python-stretch	1	0	377777
sgl-kernel	1	0	271073
openedx-atlas	4	0	98678
heapdict	1	0	371172
fs-s3fs	1	0	343787
nucliadb-telemetry	1	0	191510
pilmoji	1	0	61611
paramz	1	0	132486
openbb-core	1	0	68211
nvidia-nvtx-cu12	1	0	37822242
azure-mgmt-advisor	1	0	6653404
treelite	1	0	333140
pyats-datastructures	9	0	237571
pyeventsystem	1	0	70416
ed25519-blake2b	3	0	80858
latex2sympy2-extended	1	0	1342075
flake8-quotes	1	0	748280
sceptre-cmd-resolver	1	0	108400
daytona-toolbox-api-client	2	0	810882
triad	3	0	3036130
azure-mgmt-maps	1	0	6468220
spake2	1	0	140490
django-pgactivity	1	0	1051622
curlify	2	0	7261985
zope-contentprovider	3	0	95887
pytest-astropy-header	1	0	258250
django-constance	1	0	789270
sqlbag	1	0	121652
eradicate	1	0	827464
aiorun	1	0	190376
pypubsub	1	0	198384
azureml-core	7	0	1544617
tb-paho-mqtt-client	1	0	107644
pyavm	1	0	77191
requestsexceptions	1	0	1074114
pyats-utils	6	0	240088
stone	1	0	1431800
apeye-core	2	0	790467
oslo-middleware	2	0	218890
mozinfo	2	0	168127
iterproxy	1	0	654876
zope-site	1	0	106352
prov	2	0	489833
grpcio-csds	1	0	68283
tf-models-official	1	0	63676
ipynbname	1	0	192891
enmerkar	2	0	163446
commonregex	1	0	130856
tensorrt-cu13	1	0	92239
pygount	1	0	374174
smartsheet-python-sdk	2	0	1476350
zhinst-core	2	0	123089
mkl	6	0	481635
django-picklefield	2	0	1522702
intel-cmplr-lic-rt	2	0	119021
cwcwidth	2	0	470814
pytest-unordered	1	0	6973050
decopatch	2	0	892449
rdkit	4	0	4227259
opentelemetry-instrumentation-confluent-kafka	2	0	1567539
onnx2tf	1	0	852597
panda3d-gltf	1	0	100615
batchgenerators	2	0	87268
jsonalias	3	0	702744
pyobjc-framework-collaboration	1	0	420050
tooz	1	0	116808
pybars4	1	0	333233
pytorch-revgrad	1	0	133357
timeago	1	0	642940
smmap	5	0	129870821
fspath	1	0	75545
pyats-reporter	1	0	233950
httpx-oauth	1	0	515235
pyobjc-framework-phase	1	0	433357
aiochannel	1	0	166265
pyobjc-framework-osakit	1	0	440645
pyobjc-framework-businesschat	1	0	438599
jsondiff	3	0	10832356
pep8-naming	1	0	2244237
azure-mgmt-resource-deployments	1	0	4715039
ai-dynamo-runtime	1	0	61389
antsibull-core	1	0	115966
apswutils	1	0	664294
collate-sqlfluff	1	0	319040
ipaddress	4	0	5842969
zipfile36	1	0	924898
fill-voids	1	0	63328
dendropy	1	0	132867
importlab	1	0	465785
azure-functions-durable	1	0	566536
clickhouse-sqlalchemy	2	0	2055612
ir-datasets	1	0	686352
bjoern	1	0	52002
smbus	1	0	86221
django-csp	1	0	2529120
swagger-spec-validator	2	0	1012171
python-hcl2	2	0	10407380
hier-config	1	0	120030
sap-ai-sdk-core	1	0	85458
outlines	1	0	1183596
nv-one-logger-core	3	0	156902
smithy-core	6	0	131943
jsonable	1	0	85705
opentelemetry-instrumentation-psycopg	1	0	1859478
annoy	2	0	1030777
pyvo	1	0	218429
pytelegrambotapi	1	0	1035219
openhands-sdk	1	0	663433
o365	1	0	4727649
linear-tsv	1	0	200431
junos-eznc	1	0	275808
a2a	1	0	66427
sudachipy	3	0	1726713
stackprinter	1	0	357178
gviz-api	1	0	477202
aws-cdk-aws-sns	1	0	150188
spherogram	1	0	98981
spark-parser	2	0	142715
hyper	1	0	215482
pyunormalize	2	0	4498503
pyobjc-framework-classkit	1	0	442221
cairocffi	1	0	6165052
progressbar	2	0	375648
mdxpy	1	0	353017
edx-django-utils	16	0	123779
hypothesis-graphql	1	0	1109649
g2pkk	1	0	159384
argparse-addons	3	0	1440623
python-designateclient	1	0	135325
mycdp	1	0	460419
bqplot	2	0	319389
pynose	1	0	785981
tls-parser	1	0	81627
minikerberos	1	0	54061
sagemaker-serve	2	0	1355742
sagemaker-train	3	0	1331212
azure-keyvault-securitydomain	1	0	4821219
elasticsearch-dsl	1	0	7715009
aws-cdk-aws-route53	2	0	143710
kedro-telemetry	2	0	444781
pure-eval	1	0	80399659
label-studio-sdk	1	0	2293953
llama-index-readers-llama-parse	1	0	2637233
tini	1	0	115906
faster-eth-abi	3	0	96085
autogluon-multimodal	1	0	443601
genie-libs-sdk	1	0	142374
pyobjc-framework-pushkit	1	0	442962
igwn-auth-utils	2	0	121251
typing-validation	2	0	89136
u-msgpack-python	2	0	479425
types-webencodings	1	0	3069905
mmcif-pdbx	1	0	1184310
torch-einops-utils	1	0	149265
fdb	1	0	141154
based58	2	0	59785
vonage-subaccounts	1	0	135172
opentelemetry-instrumentation-kafka-python	2	0	2253927
pycron	1	0	731182
healpy	1	0	305211
requests-kerberos	1	0	4062149
ipaddr	1	0	410543
pyobjc-framework-datadetection	1	0	435513
lkml	1	0	649580
claude-agent-sdk	1	0	4561673
beaker	1	0	204852
boilerpy3	1	0	259364
apache-airflow-providers-common-sql	27	0	31566110
iopath	2	0	1778590
azure-core-tracing-opentelemetry	1	0	9256937
pyobjc-framework-securityui	1	0	415414
pyobjc-framework-cinematic	1	0	430122
yacs	1	0	1722692
zope-globalrequest	1	0	90244
prompture	1	0	55779
python-http-client	1	0	21729222
webtest	2	0	1007264
pyobjc-framework-quartz	25	0	1777279
pylogbeat	1	0	587561
pyobjc-framework-coremediaio	1	0	444912
bytesparse	1	0	155139
llama-index-core	53	0	5269065
flake8-plugin-utils	3	0	908285
zenpy	1	0	3574736
ordereddict	1	0	265557
types-vobject	1	0	69805
circular-dict	1	0	641540
semantic-link-functions-validators	1	0	265438
toposort	5	0	7953531
sendgrid	6	0	28184583
edalize	1	0	87680
trio-typing	1	0	10587829
drf-flex-fields	1	0	236116
honeybee-energy	2	0	63732
libretranslatepy	1	0	380815
gkeepapi	1	0	110304
oslo-rootwrap	1	0	107175
batchgeneratorsv2	1	0	49086
ag-ui-langgraph	1	0	118185
oslo-db	2	0	222160
azure-mgmt-extendedlocation	1	0	5145217
pyobjc-framework-opendirectory	1	0	440388
httpie	1	0	709337
mitmproxy-rs	1	0	2169405
griffecli	1	0	4912979
marshmallow-dataclass	3	0	4992016
intel-openmp	3	0	509116
gin-config	3	0	493930
oslo-context	11	0	532840
rst2ansi	2	0	145931
xformers	2	0	3726317
azure-mgmt-resource-templatespecs	1	0	4703358
lumigo-core	1	0	118963
hankel	1	0	67317
better-abc	1	0	50612
launchdarkly-server-sdk	2	0	7159800
pyobjc-framework-imagecapturecore	1	0	445798
gdown	6	0	3901269
azureml-automl-core	2	0	345636
djangorestframework-xml	1	0	416009
colcon-package-information	1	0	141397
djangorestframework-simplejwt	2	0	5551631
llama-index-embeddings-openai	4	0	2334934
constantdict	1	0	57574
partialjson	1	0	224295
colcon-recursive-crawl	1	0	150532
couchbase	1	0	677979
appier	1	0	481608
mozshellutil	1	0	118907
alpaca-py	1	0	606879
facebook-business	2	0	6129389
azure	1	0	1551319
eth-keys	6	0	5468147
pdftext	2	0	209196
oslo-reports	1	0	126754
pyobjc-framework-localauthenticationembeddedui	1	0	435349
multiaddr	1	0	309688
geocoder	3	0	1569938
collate-data-diff	1	0	544680
scp	4	0	11324046
winrt-windows-devices-radios	1	0	76209
pyobjc-framework-automaticassessmentconfiguration	1	0	443231
jsonpointer	8	0	118159648
onemkl-license	2	0	188387
alphashape	1	0	898588
pyobjc-framework-corespotlight	1	0	445041
azure-mgmt-netapp	1	0	5209595
textdistance	3	0	1575054
pyodbc	11	0	32323796
opentelemetry-instrumentation-celery	2	0	4284481
logging-journald	1	0	50375
jstyleson	1	0	331953
oslo-log	18	0	597972
gw-dsl-parser	1	0	101036
whylogs-sketching	1	0	140253
openvino-tokenizers	1	0	128774
libnacl	1	0	305085
openinference-instrumentation-vertexai	1	0	87617
qrdet	1	0	86716
types-aiobotocore	1	0	5927245
f5-icontrol-rest	1	0	103606
testresources	1	0	256330
openinference-instrumentation-google-adk	1	0	271571
openinference-instrumentation-litellm	1	0	226784
manhole	1	0	981143
influxdb-client	3	0	6292766
yaml-config	1	0	1038403
pyobjc-framework-webkit	1	0	491847
flatten-json	1	0	2009227
pythonnet	3	0	2183855
shiboken6	3	0	1921770
optimum	1	0	1807819
mygene	1	0	1686570
yourdfpy	1	0	340591
reportportal-client	2	0	868211
trainer	1	0	143563
azure-cli-telemetry	1	0	5394377
azure-mgmt-iothub	1	0	6765479
appdata	1	0	150410
firebird-driver	1	0	121459
spur	1	0	73628
opentracing	1	0	870497
libclang	7	0	11497927
lazr-config	1	0	180738
pyzbar	1	0	1073502
distance	1	0	621508
tensorrt-cu13-libs	2	0	91120
py-cid	1	0	161812
smithy-http	3	0	126684
oslo-config	26	0	1153170
pyppeteer	2	0	1897134
typing-utils	1	0	866152
pylint-plugin-utils	3	0	3023452
json-tricks	1	0	157801
opentelemetry-instrumentation-pymssql	1	0	172002
py-openapi-schema-to-json-schema	1	0	414583
python-jenkins	2	0	8404619
rauth	1	0	516871
azureml-train-core	3	0	420891
pyobjc-framework-accounts	2	0	439665
asyncio-atexit	1	0	592014
opentelemetry-instrumentation-mysql	2	0	1346996
edx-tincan-py35	1	0	88632
pemja	1	0	245055
pyobjc-framework-browserenginekit	1	0	434152
multiformats	1	0	61050
pagerduty	2	0	3827845
python-lsp-server	4	0	975617
python-jsonpath	2	0	680769
llama-parse	1	0	29689052
signalrcore	1	0	9173762
outlines-core	3	0	3780627
sqlalchemy-utils	9	0	21821618
py-ubjson	1	0	1015419
hyperpyyaml	1	0	1541077
fugashi	1	0	587954
pygelf	1	0	238629
py-algorand-sdk	1	0	50945
pyautogui	3	0	2013844
streamlit-toggle-switch	1	0	322821
langid	1	0	744997
glymur	1	0	59275
faker-edu	1	0	106996
verboselogs	2	0	755592
snowfakery	1	0	123514
cut-cross-entropy	1	0	373827
adagio	1	0	2788427
intel-opencl-rt	6	0	103756
pyjks	2	0	822993
ploomber-core	3	0	189714
sphinx-jinja2-compat	1	0	503140
lm-format-enforcer	2	0	3489121
dict2css	1	0	493941
azure-mgmt-trafficmanager	1	0	6735546
drf-jwt	1	0	342042
azure-mgmt-sqlvirtualmachine	1	0	5183371
qwen-vl-utils	1	0	1557916
azure-mgmt-managementgroups	1	0	6933928
qase-api-v2-client	1	0	108020
autodocsumm	1	0	714815
rpy2-robjects	1	0	168919
lightning-fabric	1	0	157761
rlp	6	0	5411617
pyquery	1	0	1595310
py-grpc-prometheus	1	0	2162432
pyobjc-framework-metalperformanceshaders	2	0	443186
apimatic-requests-client-adapter	1	0	117301
hsluv	1	0	395214
filterpy	1	0	1730238
unicrypto	1	0	150119
nvidia-nvvm	1	0	82477
locket	2	0	16906121
xlib	1	0	79728
pytest-embedded-serial	2	0	162110
zope-testbrowser	1	0	94372
shamir-mnemonic	1	0	135714
pydynamodb	2	0	3153112
la-panic	1	0	181574
pyaudio	1	0	655867
mistletoe	1	0	1194866
azure-monitor-opentelemetry-exporter	3	0	21642898
enum-compat	6	0	5401883
quandl	1	0	230350
openmim	1	0	433009
fancycompleter	1	0	1138792
snapshot-restore-py	1	0	1304560
classproperties	1	0	57779
lazy	5	0	462205
farama-notifications	1	0	5085106
symfc	1	0	469067
dataflows-tabulator	1	0	327580
simplegeneric	1	0	484752
microsoft-kiota-http	3	0	9664906
para	1	0	85508
python-arango	1	0	4686457
reactivex	3	0	5441077
pyobjc-framework-vision	4	0	622785
comfyui-workflow-templates-media-other	1	0	2096930
propelauth-py	1	0	189260
pyswisseph	1	0	117901
abstract-webtools	1	0	82114
qase-api-client	1	0	112712
tfa-nightly	1	0	84391
ai2-olmo-core	1	0	109062
libcuml-cu12	1	0	154191
py-ecc	2	0	778197
cvxopt	1	0	658815
collate-sqllineage	1	0	645764
nested-lookup	1	0	375770
types-cryptography	1	0	2167663
ruamel-yaml-string	1	0	189973
edx-opaque-keys	15	0	139470
allpairspy	1	0	172747
schedula	1	0	394992
panda3d	3	0	166201
galaxy-util	1	0	85877
pygitguardian	1	0	425577
colcon-pkg-config	1	0	148998
semchunk	1	0	1611855
azure-storage-file-share	3	0	15445718
aws-sdk-signers	1	0	129606
okta	1	0	866247
basictracer	1	0	185269
opentelemetry-instrumentation-mysqlclient	2	0	2125663
pyactiveresource	1	0	505290
local-attention	1	0	284307
panda3d-simplepbr	1	0	101143
aws-cdk-aws-autoscaling	1	0	143925
livekit-blingfire	1	0	1221374
delta-kernel-rust-sharing-wrapper	1	0	742289
autocommand	1	0	1347820
openhands-agent-server	1	0	642086
tsdownsample	1	0	631377
pims	1	0	126759
luigi	2	0	1566107
sphinxcontrib-httpdomain	1	0	3015940
htmlminf	1	0	67873
sng4onnx	2	0	279794
pyobjc-framework-mapkit	1	0	445465
apache-airflow-providers-http	8	0	14118473
epicscorelibs	1	0	61478
thop	2	0	989499
tf-hub-nightly	1	0	101435
colcon-cmake	1	0	152790
django-compressor	1	0	1374905
fpyutils	1	0	101855
amazon-textract-response-parser	2	0	1707789
django-multi-email-field	1	0	122629
aws-cdk-aws-kinesisfirehose-alpha	1	0	105971
igraph	3	0	2107228
gevent-websocket	1	0	644084
abstract-utilities	3	0	122239
siphash	1	0	81669
pytest-github-actions-annotate-failures	1	0	2007505
aws-cdk-aws-efs	1	0	153141
timedelta	1	0	304962
arch	1	0	593105
pkce	1	0	1238784
hurry-filesize	1	0	688796
plantuml	1	0	374778
jsonpath-rw-ext	2	0	661098
pystac-client	1	0	458905
sqlalchemy-stubs	2	0	2717478
pinecone-plugin-interface	3	0	6047565
latexcodec	1	0	1344139
pymacaroons	1	0	439781
comfyui-workflow-templates-core	1	0	2100388
petname	2	0	298181
hanzidentifier	1	0	475464
flask-dance	1	0	1133847
piccolo-api	1	0	96020
pywinbox	1	0	49563
gilknocker	1	0	406666
django-cache-memoize	1	0	218434
tensorflow-text	5	0	4997754
azure-cognitiveservices-speech	1	0	1814315
azure-mgmt-batchai	1	0	6464420
daytona-api-client-async	2	0	878390
adafruit-circuitpython-connectionmanager	1	0	81940
cuequivariance-ops-cu12	1	0	68269
librmm-cu12	5	0	165029
eth-brownie	1	0	50558
fqdn	1	0	37997709
sailthru-client	1	0	97200
xyzservices	5	0	6912007
tensorrt	1	0	180908
dask-awkward	1	0	324631
pyhdfe	1	0	328044
nvidia-cusparse-cu12	2	0	42367846
nr-util	2	0	476239
icecream	2	0	2301097
types-networkx	1	0	1926639
minilog	2	0	79360
essentials-openapi	2	0	170915
alibabacloud-tea	1	0	2109097
opentelemetry-instrumentation-pymemcache	2	0	1235926
pyobjc-framework-threadnetwork	1	0	432360
nvidia-nvjitlink	3	0	365080
xmlsec	2	0	8857925
standard-chunk	1	0	1714439
jieba3k	1	0	570876
conjure-python-client	1	0	146591
memory-tempfile	1	0	251251
google-cloud-audit-log	1	0	33510451
requests-pkcs12	1	0	1000801
universal-startfile	1	0	67147
zope-contenttype	3	0	142907
lilcom	1	0	579103
libsast	2	0	241539
pure-sasl	2	0	8010818
robotframework-pabot	1	0	821586
opentelemetry-util-genai	1	0	497531
morphys	3	0	200714
binho-host-adapter	1	0	78195
ai-edge-litert	2	0	438987
dydantic	1	0	556914
fastgit	1	0	69966
onecache	1	0	2044384
deprecation-alias	1	0	72382
pylev	1	0	1566266
tempita	1	0	186336
csscompressor	1	0	701632
elementpath	1	0	6649677
asdf-astropy	2	0	163691
azure-mgmt-hdinsight	1	0	5473921
azure-mgmt-cdn	1	0	6854088
azure-mgmt-mysqlflexibleservers	1	0	5130647
pyfaidx	1	0	1462563
segment-analytics-python	3	0	14088862
clint	2	0	194945
opsgenie-sdk	1	0	7179244
torch-geometric	2	0	1195490
tf-playwright-stealth	1	0	995669
compressed-rtf	1	0	1707543
bnunicodenormalizer	1	0	161090
botbuilder-integration-aiohttp	1	0	380757
python-xlib	9	0	2047945
avro-gen3	1	0	2619608
hammock	1	0	261917
torchdata	2	0	2419878
pyobjc-framework-externalaccessory	1	0	445105
opentelemetry-instrumentation-sqlite3	2	0	3278446
google-apitools	1	0	4831038
xmltojson	1	0	392760
geode-background	3	0	81423
typedunits	1	0	72740
hmsclient	1	0	3255410
openstep-parser	1	0	62761
jaraco-logging	1	0	55906
python-bidi	2	0	5565734
alibabacloud-kms20160120	1	0	106180
azure-nspkg	4	0	9560643
thrift-sasl	1	0	13209783
azure-mgmt-eventhub	1	0	7029373
openai-clip	1	0	181089
zlib-state	1	0	669234
django-silk	1	0	2359004
similaritymeasures	1	0	133380
azure-mgmt-synapse	1	0	5301785
nvidia-cuda-nvrtc-cu12	1	0	40804269
pyobjc-framework-kernelmanagement	1	0	436364
logfury	1	0	329818
language-tags	2	0	1729983
futures	2	0	2853228
pylbfgs	1	0	67887
coreapi	1	0	1371407
aws-cdk-aws-cloudformation	1	0	144315
ibm-cos-sdk-core	2	0	791163
invenio-i18n	1	0	48838
indic-numtowords	1	0	298442
pyqt6-webengine-qt6	1	0	959949
python-novaclient	2	0	366842
zope-browser	3	0	142190
sanic-jwt	1	0	97331
pyroute2	2	0	1807127
kdtree	1	0	123256
apache-airflow-providers-imap	1	0	9245816
aws-cdk-aws-batch	1	0	102840
scapy	1	0	5575304
user-agents	3	0	8740483
winrt-runtime	10	0	128168
asdf-coordinates-schemas	2	0	162468
pysdl2-dll	1	0	905320
ping3	1	0	921563
billiard	3	0	35159679
keysymdef	1	0	105959
pdoc3	1	0	468816
attr	1	0	478587
astor	9	0	11140113
geode-conversion	2	0	121643
eyes-common	1	0	608034
rfc3339	1	0	1508287
girder-large-image	1	0	52457
apache-airflow-providers-sqlite	1	0	8597308
azure-mgmt-signalr	1	0	6494444
opacus	1	0	63533
opytional	2	0	128544
pyobjc-framework-metalfx	1	0	437811
rospkg	1	0	398324
xmlschema	3	0	6208902
testslide	1	0	77368
msal-extensions	6	0	109417715
rstcheck-core	1	0	614416
vmware-vapi-common-client	1	0	92934
m3u8	1	0	1374165
astcheck	1	0	102193
antsibull-fileutils	3	0	160267
astunparse	14	0	13789670
pyobjc-framework-linkpresentation	1	0	437189
snc4onnx	1	0	106679
tbb-devel	1	0	55837
python-fasthtml	1	0	722546
hdmf	3	0	160753
tyro	2	0	2797105
arabic-reshaper	1	0	3192847
monotonic	5	0	11849215
bayesian-optimization	2	0	934028
free-proxy	2	0	145363
vonage-number-insight	1	0	135287
exasol-error-reporting	1	0	75064
opentelemetry-instrumentation-botocore	2	0	6341793
dlt	1	0	5995707
impyla	1	0	4080315
fido2	2	0	1360413
pyobjc-framework-gamecenter	1	0	445382
geventhttpclient	2	0	9229610
pecan	2	0	129451
python-gettext	1	0	222834
pyobjc-framework-cocoa	153	0	2174566
json-five	1	0	81120
pyobjc-framework-securityfoundation	1	0	440778
pyobjc-framework-fsevents	2	0	462999
nassl	1	0	96220
hdfs	2	0	5606045
overloading	1	0	114487
restfly	1	0	361084
localstack-client	2	0	786793
types-psutil	3	0	7934391
docxtpl	1	0	1517606
bip32	1	0	276516
spyder-kernels	1	0	129275
winrt-windows-devices-enumeration	1	0	95353
microsoft-agents-activity	1	0	310959
pyats-aereport	4	0	238363
awsiotsdk	1	0	957328
markdown-to-confluence	1	0	354539
azure-common	63	0	59259912
pyobjc-framework-screencapturekit	1	0	442241
pylibcudf-cu12	1	0	185947
yoyo-migrations	1	0	444569
cursor	1	0	474300
pyobjc-framework-mediaplayer	1	0	444149
shiboken2	1	0	115527
pyobjc-framework-coremedia	8	0	473737
bioregistry	1	0	108930
ipyfilechooser	2	0	156380
textual-serve	1	0	539301
pyobjc-framework-libxpc	1	0	440985
einx	2	0	1523765
pyccolo	1	0	154710
math-verify	1	0	1298462
pydantic-duality	1	0	49910
nkeys	1	0	209938
ax-platform	2	0	414796
ome-zarr	1	0	155479
sphinxcontrib-jquery	3	0	9479971
rpm	1	0	411220
st-theme	1	0	380090
hpack	1	0	69148131
databento	1	0	333170
mkdocs-autorefs	3	0	6452788
mammoth	1	0	3559306
pycrypto	1	0	8173108
aws-embedded-metrics	1	0	2260119
pyquaternion	4	0	1750373
pyleri	1	0	76208
distributed-ucxx-cu12	1	0	126351
highered	1	0	47989
supermorecado	1	0	67542
pypika-tortoise	1	0	437103
azure-ai-ml	1	0	3208030
loop-rate-limiters	1	0	208992
types-six	1	0	5568119
django-permissionedforms	1	0	486948
opentelemetry-instrumentation-tornado	3	0	1909861
tbats	1	0	689813
notion-client	2	0	3081064
agent-framework-azure-ai	1	0	535021
curtsies	1	0	431836
optimum-quanto	1	0	217386
os-resource-classes	1	0	89424
python-liquid	2	0	1167615
interface-meta	1	0	3410847
ovsdbapp	2	0	108933
tls-client	1	0	805322
phoebusgen	1	0	108129
aws-sdk-transcribe-streaming	1	0	72741
asdf-transform-schemas	3	0	191631
click-plugins	4	0	39570614
opentelemetry-instrumentation-aio-pika	2	0	1380777
nagisa	1	0	240784
unitycatalog-client	1	0	911094
pyobjc-framework-carbon	1	0	429119
impacket	1	0	625483
interegular	2	0	3942154
pykdtree	1	0	101212
jsonpath-rw	5	0	1977539
abstract-gui	1	0	55325
clarifai-grpc	2	0	524988
albucore	2	0	2900265
requests-aws4auth	2	0	83189706
qm-qua	1	0	59077
pyxnat	1	0	254329
appdynamics-bindeps-linux-x64	1	0	140318
azure-mgmt-servicefabric	1	0	6512223
pyobjc-framework-arkit	1	0	358178
duckduckgo-search	2	0	3222259
memory-profiler	4	0	4533136
tridiax	1	0	307531
rq	4	0	6161638
google-ads	2	0	43422972
sagemaker-studio	1	0	19328502
torch-ema	1	0	467501
json-spec	1	0	362394
warc3-wet	1	0	666819
opengeode-core	11	0	59470
tinysegmenter	1	0	598243
dagster-shared	1	0	3477330
autogluon-features	5	0	609673
timple	1	0	53134
aws-encryption-sdk	1	0	2648597
dashscope	2	0	856085
plac	3	0	1555849
gcloud-rest-auth	4	0	488731
itk-numerics	2	0	162771
clarabel	2	0	2250286
pyobjc-framework-fileprovider	2	0	443870
cleanco	1	0	3118897
devpi-common	2	0	241085
pyarmor-cli-core	1	0	612970
pylint-venv	1	0	75444
vonage-network-sim-swap	1	0	135241
shinywidgets	1	0	119039
neutron-lib	1	0	104953
et-xmlfile	4	0	232315925
pysnmpcrypto	1	0	343373
botbuilder-core	3	0	687149
asciinema	1	0	1090717
wimpy	1	0	220403
zope-deprecation	3	0	2483415
segments	2	0	483399
routes	4	0	439859
bases	1	0	61449
libusb1	1	0	408436
autogluon-timeseries	1	0	467909
nlpaug	1	0	361078
vonage-application	1	0	135233
simplekv	1	0	62981
cssutils	5	0	6077494
dragonfly-energy	1	0	77217
grimp	1	0	3640658
pyls-spyder	1	0	68575
altgraph	1	0	7348416
zope-viewlet	1	0	93962
e2b	2	0	2231851
oslo-messaging	3	0	235666
kagglesdk	2	0	1406674
ds-store	1	0	83313
fabric-analytics-sdk	1	0	1467068
check-manifest	1	0	741962
torchtext	1	0	591888
binpacking	1	0	204731
mscerts	1	0	303607
apache-airflow-providers-ftp	1	0	8344236
pockets	1	0	451602
kivy-deps-sdl2	1	0	68830
domdf-python-tools	11	0	1023266
typed-ast	1	0	3543948
os-win	1	0	76866
memray	1	0	11979313
oslo-cache	2	0	202882
conditional	1	0	136944
libucxx-cu12	1	0	127845
coqpit	2	0	170955
pyqt5-sip	1	0	3129370
python-glanceclient	1	0	256619
python-lsp-jsonrpc	2	0	1456167
pydsdl	1	0	48904
aws-cdk-aws-cloudwatch	1	0	168801
benchling-api-client	1	0	297621
cabina	1	0	126795
pyobjc-framework-mlcompute	1	0	436171
netsuitesdk	1	0	515893
svgwrite	2	0	1269399
sqlakeyset	1	0	665870
apischema	1	0	102005
pycasbin	4	0	827400
safe-netrc	1	0	120404
appdynamics-proxysupport-linux-x64	1	0	135791
edx-rest-api-client	2	0	102570
pyobjc-framework-applicationservices	2	0	630140
flaky	1	0	3824498
pyobjc-framework-apptrackingtransparency	1	0	436551
pox	2	0	16825098
microsoft-kiota-authentication-azure	2	0	10034729
