name	n_dependents	n_tp_dependents	own_download_count
jinja-partials	1	1	887729
minify-html	3	1	948736
universal-analytics-python3	1	1	161872
jaconv	5	1	2431044
line-profiler	2	1	2999892
numpy-groupies	1	1	357473
authencoding	1	1	100984
addict	7	1	5595571
pyqt6	5	1	2531210
troposphere	1	1	2182627
yggdrasil-engine	1	1	864355
zipfile-zstd	1	1	125917
click-configfile	1	1	267255
django-formtools	2	1	1756720
unpaddedbase64	2	1	749752
transformers-stream-generator	3	1	255385
sphinxcontrib-htmlhelp	1	1	20793141
griffelib	6	1	5859771
stanio	1	1	6949030
pytest-httpserver	1	1	3145931
python3-openid	2	1	6025078
pykdebugparser	1	1	181665
bincopy	2	1	465262
cfgrib	2	1	510943
statsd	5	1	17005088
typos	1	1	776046
openapi-generator-cli	1	1	443384
google-cloud-access-context-manager	1	1	855569
large-image-converter	1	1	49714
miniwdl	1	1	69876
cachebox	1	1	253907
multivolumefile	1	1	4454538
bpylist2	2	1	191833
micloud	1	1	148072
securetar	1	1	145902
imageio-ffmpeg	1	1	7328823
jsonpickle	18	1	18388490
pytorch-tokenizers	1	1	99377
gstools	1	1	71843
aistudio-sdk	1	1	601695
junit-xml	6	1	8699452
pyshacl	1	1	277087
types-aiofiles	1	1	11735060
tensorstore	3	1	3826703
pyloudnorm	4	1	2324750
taskcluster	1	1	638869
asyncio	5	1	21754060
azure-mgmt-cosmosdb	3	1	11841985
elasticsearch	15	1	47335264
xprof	2	1	445299
azure-ai-documentintelligence	1	1	4785393
tree-sitter-c-sharp	3	1	5053334
pybtex-docutils	1	1	689792
dbfread	1	1	2207857
torchtnt	1	1	607133
flasgger	2	1	881437
sphinxcontrib-serializinghtml	2	1	22634342
aqtp	1	1	211415
srptools	2	1	231378
azure-mgmt-containerservice	2	1	15324862
oathtool	1	1	114239
llm-sandbox	1	1	369336
jmp	2	1	587740
curated-transformers	1	1	486331
azure-mgmt-containerregistry	4	1	12441265
inquirer3	1	1	183165
python-crontab	2	1	6519833
cssbeautifier	1	1	3604339
comtypes	6	1	2250718
ai-edge-model-explorer	1	1	72475
alibabacloud-oss20190517	1	1	70733
dotnetcore2	1	1	131591
chdb	1	1	1824229
aiohttp-socks	1	1	2088620
ocrmac	1	1	160272
latex2mathml	1	1	2040245
flexcache	1	1	3422830
