rank	name	verdict	download_count	n_direct_deps	n_in_dataset	n_tp	n_notp	n_unk	dep_tp_ratio
983	azure-kusto-data	tp	13517751	6	6	1	5	0	0.16666666666666666
984	aiofile	notp	13493882	1	1	1	0	0	1.0
985	configargparse	tp	13439399						
986	psycopg-pool	notp	13414336	1	1	1	0	0	1.0
987	pinotdb	notp	13409280	4	4	1	3	0	0.25
988	nexus-rpc	notp	13367388	1	1	1	0	0	1.0
989	pyphen	notp	13336949						
990	realtime	tp	13312342						
991	apispec	tp	13298380	1	1	1	0	0	1.0
992	testcontainers	tp	13256946	5	5	3	2	0	0.6
993	azure-keyvault-certificates	notp	13234045	3	3	1	2	0	0.3333333333333333
994	thrift-sasl	notp	13209783						
995	geographiclib	notp	13184528						
996	trino	notp	13163968	7	7	3	4	0	0.42857142857142855
997	questionary	notp	13157241	1	1	0	1	0	0.0
998	types-redis	notp	13142968						
999	azure-mgmt-msi	notp	13133943	4	4	1	3	0	0.25
1000	crc32c	notp	13099182						
1001	prek	tp	13025024						
1002	ldap3	notp	12988595	2	2	0	2	0	0.0
1003	weasyprint	tp	12957206	8	8	5	3	0	0.625
1004	geopy	notp	12935183						
1005	numexpr	notp	12923508	1	1	1	0	0	1.0
1006	connexion	notp	12828208	11	11	7	4	0	0.6363636363636364
1007	pycares	notp	12810503	2	2	0	2	0	0.0
1008	genson	notp	12798350						
1009	json-repair	tp	12794125						
1010	langchain-classic	tp	12762401	8	8	5	3	0	0.625
1011	types-paramiko	notp	12704387	1	1	1	0	0	1.0
1012	zopfli	notp	12675499						
1013	face	tp	12618224	1	1	0	1	0	0.0
1014	types-deprecated	notp	12607784						
1015	glom	notp	12582464						
1016	mkdocs-material-extensions	notp	12574507						
1017	atlassian-python-api	notp	12569663	7	7	3	4	0	0.42857142857142855
1018	types-pyopenssl	notp	12566353						
1019	opentelemetry-resourcedetector-gcp	notp	12539293	4	4	2	2	0	0.5
1020	aiohttp-cors	tp	12527797	1	1	1	0	0	1.0
1021	types-tabulate	notp	12524806						
1022	fastapi-mcp	notp	12500771	10	10	7	3	0	0.7
1023	cachelib	notp	12493336						
1024	office365-rest-python-client	notp	12441551	4	4	3	1	0	0.75
1025	azure-mgmt-containerregistry	notp	12441265	3	3	1	2	0	0.3333333333333333
1026	kfp	tp	12438122	15	15	9	6	0	0.6
1027	langcodes	tp	12438074						
1028	docker-pycreds	notp	12428801	1	1	0	1	0	0.0
1029	py-partiql-parser	notp	12406646						
1030	datetime	notp	12403279	2	2	2	0	0	1.0
1031	azure-data-tables	notp	12381026	4	4	2	2	0	0.5
1032	ipdb	notp	12299143						
1033	flask-appbuilder	notp	12244257						
1034	mkdocs-get-deps	tp	12237267	4	4	1	3	0	0.25
1035	aiodns	tp	12221627	1	1	0	1	0	0.0
1036	faiss-cpu	tp	12193692	2	2	2	0	0	1.0
1037	langchain-anthropic	tp	12162280	3	3	2	1	0	0.6666666666666666
1038	colorful	notp	12155871	1	1	0	1	0	0.0
1039	jaxlib	tp	12151341	3	3	2	1	0	0.6666666666666666
