rank	name
910	azure-mgmt-containerservice
911	pydub
913	spacy-legacy
914	torchaudio
915	tritonclient
916	python-socketio
917	google-generativeai
918	python-engineio
919	spacy-loggers
920	fastparquet
921	docopt
922	backcall
923	parameterized
926	clickhouse-connect
927	rich-argparse
928	pydot
929	fuzzywuzzy
930	python-gnupg
931	fire
933	apache-airflow-providers-common-compat
934	hiredis
935	grpcio-gcp
936	simple-websocket
939	azure-keyvault-keys
942	unidiff
944	apache-airflow-providers-mysql
945	rignore
946	jupyter-console
947	jupyter
948	apache-airflow-providers-ssh
949	soundfile
952	boltons
957	pinecone-plugin-assistant
958	pgvector
959	pydeequ
960	py-spy
961	cohere
962	apache-airflow-providers-http
963	twilio
965	segment-analytics-python
966	databricks-cli
967	apache-airflow-providers-google
969	jaydebeapi
970	av
971	async-generator
974	nvidia-ml-py
975	astunparse
976	types-cffi
977	ghp-import
979	diff-cover
981	avro
984	aiofile
986	psycopg-pool
987	pinotdb
988	nexus-rpc
989	pyphen
993	azure-keyvault-certificates
994	thrift-sasl
995	geographiclib
996	trino
997	questionary
998	types-redis
999	azure-mgmt-msi
1000	crc32c
1002	ldap3
1004	geopy
1005	numexpr
1006	connexion
1007	pycares
1008	genson
1011	types-paramiko
1012	zopfli
1014	types-deprecated
1015	glom
1016	mkdocs-material-extensions
1017	atlassian-python-api
1018	types-pyopenssl
1019	opentelemetry-resourcedetector-gcp
1021	types-tabulate
1022	fastapi-mcp
1023	cachelib
1024	office365-rest-python-client
1025	azure-mgmt-containerregistry
1028	docker-pycreds
1029	py-partiql-parser
1030	datetime
1031	azure-data-tables
1032	ipdb
1033	flask-appbuilder
1038	colorful
1040	pywavelets
1041	asynctest
1042	meson
1043	hatch-vcs
1045	memray
1047	pdf2image
1049	opentelemetry-instrumentation-sqlalchemy
1050	sphinx-rtd-theme
1051	monotonic
1052	azure-mgmt-cosmosdb
1054	imbalanced-learn
1055	pywin32-ctypes
1056	yfinance
1058	types-aiofiles
1060	azure-mgmt-compute
1061	mistralai
1062	openlineage-python
1063	lightgbm
1064	mlflow-tracing
1066	asyncssh
