rank	name	version	summary	uploaded_via	upload_time	filename	recent_7d_downloads	github_url	verdict
41	filelock	3.24.3	A platform independent file lock.	twine/6.1.0 CPython/3.13.7	2026-02-19T00:48:20.543790	filelock-3.24.3.tar.gz	27010553	https://github.com/tox-dev/py-filelock	tp
42	jinja2	3.1.6	A very fast and expressive template engine.	twine/6.0.1 CPython/3.12.8	2025-03-05T20:05:02.478302	jinja2-3.1.6.tar.gz	0	https://github.com/pallets/jinja	tp
43	importlib-metadata	8.7.1	Read metadata from Python packages	twine/6.2.0 CPython/3.14.2	2025-12-21T10:00:19.278538	importlib_metadata-8.7.1.tar.gz	50270083	https://github.com/python/importlib_metadata	notp
44	pathspec	1.0.4	Utility library for gitignore style pattern matching of file paths.	twine/6.1.0 CPython/3.13.7	2026-01-27T03:59:46.938903	pathspec-1.0.4.tar.gz	71515151	https://github.com/cpburnz/python-pathspec	tp
45	pyjwt	2.11.0	JSON Web Token implementation in Python	twine/6.1.0 CPython/3.13.7	2026-01-30T19:59:55.694646	pyjwt-2.11.0.tar.gz	0	https://github.com/jpadilla/pyjwt	tp
46	rsa	4.9.1	Pure-Python RSA implementation	twine/6.1.0 CPython/3.12.3	2025-04-16T09:51:18.218643	rsa-4.9.1.tar.gz	55393023	https://github.com/sybrenstuvel/python-rsa	notp
47	httpx	0.28.1	The next generation HTTP client.	twine/6.0.1 CPython/3.8.18	2024-12-06T15:37:23.222462	httpx-0.28.1.tar.gz	78548082	https://github.com/encode/httpx	notp
48	zipp	3.23.0	Backport of pathlib-compatible object wrapper for zip files	twine/6.1.0 CPython/3.13.3	2025-06-08T17:06:39.400622	zipp-3.23.0.tar.gz	64812601	https://github.com/jaraco/zipp	notp
49	pytz	2025.2	World timezone definitions, modern and historical	twine/6.1.0 CPython/3.12.9	2025-03-25T02:25:00.538686	pytz-2025.2.tar.gz	71049206		tp
50	httpcore	1.0.9	A minimal low-level HTTP client.	twine/6.1.0 CPython/3.8.18	2025-04-24T22:06:22.219726	httpcore-1.0.9.tar.gz	81909042	https://github.com/encode/httpcore	notp
51	typing-inspection	0.4.2	Runtime typing introspection tools	twine/6.1.0 CPython/3.13.7	2025-10-01T02:14:41.687923	typing_inspection-0.4.2.tar.gz	80614450	https://github.com/pydantic/typing-inspection	tp
52	pyasn1	0.6.2	Pure-Python implementation of ASN.1 types and DER/BER/CER codecs (X.208)	twine/6.2.0 CPython/3.13.9	2026-01-16T18:04:18.534551	pyasn1-0.6.2.tar.gz	63070437	https://github.com/pyasn1/pyasn1	notp
53	aiohttp	3.13.3	Async http client/server framework (asyncio)	twine/6.1.0 CPython/3.13.7	2026-01-03T17:33:05.204669	aiohttp-3.13.3.tar.gz	57316190	https://github.com/aio-libs/aiohttp	tp
54	python-dotenv	1.2.1	Read key-value pairs from a .env file and set them as environment variables	twine/6.1.0 CPython/3.13.7	2025-10-26T15:12:10.434266	python_dotenv-1.2.1.tar.gz	55501544	https://github.com/theskumar/python-dotenv	tp
55	rich	14.3.3	Render rich text, tables, progress bars, syntax highlighting, markdown and more to the terminal	poetry/2.3.2 CPython/3.12.11 Darwin/25.2.0	2026-02-19T17:23:13.732467	rich-14.3.3-py3-none-any.whl	15696692	https://github.com/Textualize/rich	notp
56	multidict	6.7.1	multidict implementation	twine/6.1.0 CPython/3.13.7	2026-01-26T02:46:45.979236	multidict-6.7.1.tar.gz	56762989	https://github.com/aio-libs/multidict	tp
57	jsonschema	4.26.0	An implementation of JSON Schema validation for Python	twine/6.1.0 CPython/3.13.7	2026-01-07T13:41:07.246891	jsonschema-4.26.0.tar.gz	46105631	https://github.com/python-jsonschema/jsonschema	tp
58	google-auth	2.49.0.dev0	Google Authentication Library	twine/5.1.1 CPython/3.12.12	2026-01-26T21:44:45.284166	google_auth-2.49.0.dev0.tar.gz	2650733	https://github.com/googleapis/google-auth-library-python	tp
59	tzdata	2025.3	Provider of IANA time zone data	twine/6.1.0 CPython/3.13.7	2025-12-13T17:45:35.667459	tzdata-2025.3.tar.gz	59461016	https://github.com/python/tzdata	tp
60	yarl	1.22.0	Yet another URL library	twine/6.1.0 CPython/3.13.7	2025-10-06T14:12:55.963037	yarl-1.22.0.tar.gz	60350701	https://github.com/aio-libs/yarl	tp
61	colorama	0.4.6	Cross-platform colored terminal text.	twine/4.0.1 CPython/3.10.6	2022-10-25T02:36:22.414799	colorama-0.4.6.tar.gz	71020459	https://github.com/tartley/colorama	notp
