rank	name
1979	aws-cdk-cloud-assembly-schema
1983	check-jsonschema
1986	gepa
1987	protego
1992	auth0-python
1993	appium-python-client
1998	basedpyright
1999	django-phonenumber-field
2000	freetype-py
2008	aiormq
2010	krb5
2013	plumbum
2015	accessible-pygments
2020	ansible-compat
2024	opentelemetry-instrumentation-openai
2025	djlint
2031	yq
2034	databricks-labs-dqx
2036	aio-pika
2039	opentelemetry-instrumentation-vertexai
2046	mangum
2047	pycocotools
2048	pubchempy
2049	social-auth-app-django
2050	usaddress
2051	pyhanko-certvalidator
2058	astropy
2059	jsonargparse
2060	cuda-python
2071	jsoncompat
2072	tzfpy
2076	nbclassic
2077	rasterio
2083	pyfiglet
2086	sqlean-py
2092	simsimd
2103	sspilib
2104	aiostream
2105	tweepy
2107	towncrier
2111	dynamodb-json
2114	djangorestframework-stubs
2118	msgraphfs
2119	disposable-email-domains
2121	newrelic
2125	sacrebleu
2128	dbt-redshift
2131	kfp-server-api
2132	locust-cloud
2133	diff-match-patch
2136	pypsrp
2137	lmdb
2150	diracx-core
2153	uv-dynamic-versioning
2166	browser-use
2169	httpx-ws
2170	optax
2174	hubspot-api-client
2183	webargs
2184	scipy-stubs
2185	opentelemetry-instrumentation-langchain
2186	dbl-tempo
2187	multimethod
2188	ec2-metadata
2195	stdlib-list
2196	optype
2197	poethepoet
2198	livekit
2204	aiogram
2220	stockfish
2230	sphinxcontrib-mermaid
2235	opentelemetry-instrumentation-anthropic
2238	brotlicffi
2244	choreographer
2245	gotrue
2246	logistro
2247	traceloop-sdk
2257	utilsforecast
2260	scrapy
2261	ydb-dbapi
2278	arviz
2281	langchain-mongodb
2282	stamina
2283	ua-parser-rs
2289	clang-format
2295	pydata-sphinx-theme
2296	django-simple-history
2297	tantivy
2299	pyairtable
2303	plotnine
2306	yandex-query-client
2310	mizani
2325	mlx-lm
2326	shtab
2327	cucumber-tag-expressions
2331	dirty-equals
2334	statsforecast
2336	braintrust
2338	lmnr
2345	httpx-aiohttp
2346	testfixtures
2348	typed-settings
2355	sqlalchemy-drill
2356	airbyte-cdk
2359	queuelib
2369	python-can
2370	livekit-protocol
2374	presidio-anonymizer
2377	cucumber-expressions
2379	livekit-api
2381	coreforecast
2382	opentelemetry-instrumentation-cohere
2384	langgraph-cli
2385	lance-namespace-urllib3-client
2387	lance-namespace
2390	python-ipware
2392	itemadapter
2394	google-api-python-client-stubs
2396	ecs-logging
2397	django-prometheus
2398	graphframes
2401	opentelemetry-instrumentation-qdrant
2402	scs
2403	gcovr
2404	dataproperty
2407	xai-sdk
2408	algoliasearch
2409	roman-numerals-py
2410	opentelemetry-instrumentation-google-generativeai
2412	opentelemetry-instrumentation-bedrock
2416	opentelemetry-instrumentation-llamaindex
2419	hijridate
2422	itemloaders
2423	pymongo-auth-aws
2425	opentelemetry-instrumentation-ollama
2428	opentelemetry-instrumentation-alephalpha
2432	opentelemetry-instrumentation-crewai
2433	pycrdt
2438	furo
2440	pycep-parser
2442	prefect-docker
2444	pytablewriter
2446	opentelemetry-instrumentation-chromadb
2447	category-encoders
2448	langgraph-checkpoint-postgres
2449	opentelemetry-instrumentation-haystack
2453	aiodocker
2454	tabledata
2461	pyexcel-io
2465	opentelemetry-instrumentation-transformers
2466	chispa
2467	opentelemetry-instrumentation-replicate
2469	bc-python-hcl2
2470	opentelemetry-instrumentation-weaviate
2472	django-health-check
2473	opentelemetry-instrumentation-pinecone
2475	opentelemetry-instrumentation-watsonx
2476	lml
2481	langchain-ollama
2482	magic-filter
2484	colorclass
2488	correctionlib
2490	pyrefly
2491	opentelemetry-instrumentation-mistralai
2492	pytest-dependency
2496	opentelemetry-instrumentation-milvus
2500	tcolorpy
2513	cog
2519	litellm-enterprise
2522	docling-core
2524	pytest-random-order
2525	pyhmmer
2528	opentelemetry-instrumentation-marqo
2529	opentelemetry-instrumentation-lancedb
2534	ada-url
2542	opentelemetry-instrumentation-together
2548	opentelemetry-instrumentation-sagemaker
2551	requests-unixsocket
2561	langchain-experimental
2562	protovalidate
2565	langgraph-checkpoint-mongodb
2566	quart
2571	opentelemetry-instrumentation-mcp
2572	editdistance
2573	bc-jsonpath-ng
2576	xsdata
2578	apache-tvm-ffi
2587	array-api-compat
2588	django-import-export
2590	ndindex
2591	stdlibs
2599	flask-shell-ipython
2602	pyexcel
2609	jupytext
2613	mteb
2618	pagefind-bin
2620	apsw
2628	pagefind
2632	winkerberos
2633	httpx-retries
2645	pytest-test-groups
2652	commitizen
2660	array-record
2661	pytest-bdd
2663	dbt-duckdb
2666	valkey
2671	taskgroup
2680	puccinialin
2693	chex
2697	ufmt
2699	anndata
2700	mkdocs-redirects
2701	qh3
2702	ariadne
2706	flask-admin
2710	numpy-typing-compat
2711	pydantic-yaml
2713	mwparserfromhell
2718	meltano
2721	pysam
2733	supafunc
2741	ansi2html
2743	emmet-api
2745	coincurve
2748	uncertainties
2754	zeroconf
2755	panel
2758	country-converter
2764	iterative-telemetry
2766	python-calamine
2782	pygeohash
2784	mem0ai
2788	pyopengl
2789	apache-sedona
2791	cheroot
2792	exchange-calendars
2796	janus
2804	swig
2808	torchcodec
2812	langgraph-runtime-inmem
2814	pyroscope-io
2815	pymongo-search-utils
2817	django-structlog
2818	types-lxml
2821	urllib3-future
2824	pyannote-audio
2829	confuse
2830	wassima
2837	dvc
2838	brotlipy
2845	pytest-codspeed
2855	legacy-api-wrap
2857	mkdocs-literate-nav
2865	setuptools-git-versioning
2866	jh2
2869	pyannote-core
2870	niquests
2871	marimo
2874	obstore
2875	google-cloud-artifact-registry
2877	numpydoc
2880	sanic
2882	mapbox-earcut
2885	mailchimp-transactional
2888	pyannote-database
2895	duckdb-engine
2898	docling-parse
2903	libtmux
2907	ghstack
2908	ibis-framework
2909	pyexcel-xls
2910	langchain-groq
2912	model-hosting-container-standards
2918	frida
2925	modin
2926	flake8-pyproject
2927	aiodataloader
2945	textblob
2948	comfy-aimdo
2958	pyannote-metrics
2960	wechatpayv3
2964	onnx-ir
2970	crowdstrike-falconpy
2972	plux
2973	django-anymail
2979	strands-agents-tools
2980	pip-licenses
2981	datacompy
2983	pem
2985	granian
2986	ibm-db
2987	bubus
2990	xarray-einstats
2993	pytest-factoryboy
2998	elastic-apm
3005	beanie
3007	pytest-docker-tools
3015	flufl-lock
3016	celery-redbeat
3033	dash-ag-grid
3047	mkdocs-git-revision-date-localized-plugin
3052	opentelemetry-instrumentation-groq
3053	sqllineage
3055	param
3056	signxml
3061	boost-histogram
3063	docling-ibm-models
3074	pytest-watcher
3082	cross-web
3086	litellm-proxy-extras
3090	z3-solver
3108	camel-converter
3117	flatdict
3126	langchain-huggingface
3132	alembic-postgresql-enum
3140	pandas-market-calendars
3142	flake8-comprehensions
3143	loro
3145	pulpcore
3151	hist
3152	http-message-signatures
3154	patchright
3155	tensordict
3173	ydata-profiling
3176	deepgram-sdk
3192	treelib
3193	svix
3194	pymatgen
3196	xattr
3197	pudb
3210	dbt-clickhouse
3214	newrelic-telemetry-sdk
3218	xlsx2csv
3220	mkdocs-section-index
3227	jinja2-cli
3236	jsonnet
3249	pyhpke
3251	jsonschema-spec
3257	pydantic-to-typescript
3263	nebius
3264	polyleven
3266	model-bakery
3269	dvc-data
3274	flake8-import-order
3276	pyannote-pipeline
3286	throttled-py
3287	django-hijack
3303	asyncclick
3317	databricks-labs-remorph
3321	whatthepatch
3322	django-mysql
3335	ariadne-codegen
3339	scmrepo
3367	scantree
3376	dirhash
3446	fast-langdetect
3453	markdown-graphviz-inline
3461	anybadge
3485	gherkin-official
3539	airportsdata
3568	csv-diff
3576	ida-hcli
3584	scikit-base
3594	langchain-chroma
3611	cmaes
3618	dvc-objects
3621	pyvers
3635	openapi-python-client
3648	awkward
3652	psygnal
3667	yt-dlp-ejs
3669	sklearn-compat
3673	tach
3681	langchain-tests
3688	lm-eval
3690	breathe
3716	pytest-flask
3735	pymarkdownlnt
3736	lazy-imports
3743	skl2onnx
3767	dvc-render
3769	coveralls
3772	mpi4py
3773	prefect-dbt
3775	dvc-studio-client
3778	vercel-runtime
3782	prefect-azure
3783	apify-client
3790	sqltrie
3793	nibabel
3799	west
3801	django-vite
3806	flask-oidc
3807	openevals
3810	dvc-task
3813	kconfiglib
3814	dvc-http
3818	testtools
3821	nbsphinx
3823	django-ses
3831	pyexcel-xlsx
3833	flask-smorest
3834	deepagents
3835	pystac
3836	pydicom
3837	pycld2
3838	highspy
3839	apify-shared
3842	unleashclient
3854	flask-marshmallow
3855	gto
3856	flask-debugtoolbar
3857	google-cloud-pipeline-components
3868	alchemlyb
3869	google-cloud-documentai
3870	langchain-fireworks
3871	pycognito
3881	django-linear-migrations
3888	open-webui
3891	plotly-stubs
3894	molecule
3899	spglib
3902	arize-phoenix-otel
3907	dspy-ai
3912	databricks-langchain
3913	fal-client
3918	evidently
3924	argh
3925	pyviz-comms
3926	opentelemetry-instrumentation-openai-agents
3929	litestar
3931	ast-grep-cli
3934	pymongocrypt
3936	docstring-to-markdown
3941	prefect-gcp
3943	strawberry-graphql-django
3946	django-object-actions
3948	currencyconverter
3950	scikit-build
3955	copier
3957	mkdocs-click
3958	langgraph-checkpoint-sqlite
3959	sktime
3961	loky
3963	databricks-ai-bridge
3973	esp-idf-size
3975	bm25s
3978	pydeseq2
3980	zizmor
3984	emmet-core
3987	jax-cuda12-plugin
3991	dbus-fast
3996	ast-grep-py
4001	python-semantic-release
4010	formulaic-contrasts
4011	jax-cuda12-pjrt
4023	manifold3d
4027	pytest-datadir
4030	arq
4044	python-fsutil
4046	flash-attn
4047	plum-dispatch
4048	awesomeversion
4052	uhi
4056	daft
4059	itables
4064	mkdocs-panzoom-plugin
4071	paddlex
4073	arize-phoenix
4076	diracx-client
4077	diracx-cli
4079	honcho
4085	litestar-htmx
4094	lzfse
4095	flask-mail
4098	monty
4101	mkdocs-glightbox
4107	browsergym-core
4113	scenedetect
4123	vhacdx
4129	supervision
4132	pyvista
4135	clang
4138	mdanalysis
4139	interrogate
4141	yara-python
4143	langchain-mistralai
4146	splunk-sdk
4148	treepoem
4149	rope
4161	harfile
4166	mcap
4171	kopf
4173	keyrings-codeartifact
4180	jupyter-ydoc
4181	griddataformats
4187	histoprint
4194	json-stream-rs-tokenizer
4204	esptool
4208	shandy-sqlfmt
4220	json-stream
4221	mplhep
4222	vector
4223	holoviews
4225	mkdocs-gen-files
4226	lameenc
4228	jenkinsapi
4230	jupyter-server-ydoc
4238	google-cloud-recaptcha-enterprise
4240	python-benedict
4241	cython-lint
4245	gtts
4268	cartopy
4276	uncalled
4279	creosote
4288	pwdlib
4290	bootstrap-flask
4292	dify-plugin
4294	praw
4297	prefect-sqlalchemy
4303	jupyter-server-fileid
4311	coredis
4313	roundrobin
4315	falcon
4319	prawcore
4320	watchgod
4321	unstructured-inference
4337	dbt-athena
4340	cibuildwheel
4345	google-cloud-vectorsearch
4348	grain
4349	clerk-backend-api
4352	jupyter-kernel-gateway
4356	django-pydantic-field
4361	google-cloud-org-policy
4364	pytoolconfig
4365	datacontract-cli
4366	google-cloud-os-config
4368	numdifftools
4369	langchain-nvidia-ai-endpoints
4370	inline-snapshot
4371	impit
4381	pytest-pretty
4385	google-cloud-asset
4386	crispy-bootstrap5
4387	google-cloud-ndb
4391	opentelemetry-instrumentation-writer
4395	githubkit
4399	python-memcached
4410	tf2onnx
4411	tabula-py
4413	rubicon-objc
4418	cyclonedx-bom
4419	django-htmx
4420	maison
4427	trackio
4429	kneed
4433	jinjanator
4434	jinjanator-plugins
4439	langchain-pinecone
4442	fast-depends
